recovery_query,err_without_check,check_query,recollect_query,err_with_check,total_query
1284,54,1228,1369,0,3881
1320,61,1168,1297,0,3785
1309,65,1186,1440,0,3935
1278,75,1258,1736,0,4272
1275,50,1128,1115,0,3518
1292,67,1186,1415,0,3893
1306,54,1166,1207,0,3679
1299,63,1186,1337,0,3822
1291,76,1208,1490,0,3989
1291,59,1182,1315,0,3788
1306,58,1168,1323,0,3797
1293,70,1254,1564,0,4111
1287,60,1128,1109,0,3524
1269,68,1170,1344,0,3783
1304,57,1196,1339,0,3839
1292,70,1188,1435,0,3915
1303,54,1158,1150,0,3611
1264,67,1206,1273,0,3743
1310,48,1132,1222,0,3664
1307,56,1138,1265,0,3710
1296,58,1144,1272,0,3712
1294,62,1192,1431,0,3917
1313,58,1134,1276,0,3723
1304,73,1134,1322,1,3760
1322,69,1146,1237,0,3705
1283,63,1196,1267,1,3746
1291,60,1198,1332,0,3821
1312,73,1238,1665,1,4215
1306,61,1166,1301,0,3773
1289,73,1200,1508,0,3997
1320,67,1210,1409,1,3939
1301,64,1210,1558,1,4069
1304,79,1270,1731,0,4305
1300,73,1184,1550,0,4034
1298,46,1156,1203,1,3657
1295,70,1130,1265,0,3690
1308,72,1198,1363,1,3869
1310,70,1150,1219,0,3679
1337,73,1210,1628,0,4175
1280,65,1188,1372,1,3840
1297,74,1176,1591,0,4064
1299,82,1282,1780,0,4361
1296,63,1204,1349,0,3849
1303,53,1118,1174,0,3595
1309,56,1158,1289,0,3756
1312,70,1206,1537,0,4055
1307,48,1210,1322,1,3839
1305,69,1186,1355,0,3846
1301,55,1176,1233,1,3710
1298,70,1174,1340,0,3812
1305,68,1174,1418,0,3897
1287,63,1156,1271,0,3714
1287,76,1276,1691,0,4254
1305,54,1174,1388,0,3867
1317,61,1184,1467,0,3968
1298,56,1186,1397,0,3881
1303,67,1190,1405,0,3898
1294,59,1236,1442,0,3972
1291,58,1202,1413,0,3906
1316,69,1208,1580,0,4104
1308,62,1142,1262,0,3712
1298,66,1210,1481,0,3989
1309,54,1184,1416,0,3909
1296,53,1106,1065,0,3467
1287,76,1230,1533,0,4050
1328,67,1196,1539,0,4063
1308,55,1148,1256,0,3712
1301,61,1144,1324,1,3769
1275,62,1188,1387,0,3850
1317,71,1160,1332,0,3809
1314,63,1224,1477,1,4015
1298,56,1168,1194,0,3660
1302,54,1124,1229,0,3655
1290,81,1212,1656,0,4158
1282,66,1164,1535,0,3981
1314,46,1104,1057,0,3475
1305,66,1204,1480,0,3989
1296,56,1184,1313,0,3793
1301,68,1166,1403,0,3870
1294,65,1278,1536,0,4108
