recovery_query,ori_err_cof,query_with_vote,err_cof
1309,66,9233,0
1308,61,9261,0
1306,63,9268,0
1301,67,9177,0
1300,61,9142,0
1288,63,9065,0
1303,54,9233,0
1306,59,9247,0
1299,61,9198,0
1318,49,9296,0
1288,66,9100,0
1290,55,9009,0
1291,65,9058,0
1284,66,9093,0
1322,63,9240,0
1314,61,9338,0
1292,51,9114,0
1296,64,9170,0
1306,62,9198,0
1297,81,9121,0
1304,58,9212,0
1298,63,9093,0
1295,65,9093,0
1302,66,9170,0
1310,68,9240,0
1269,70,9016,0
1310,63,9233,0
1316,74,9359,0
1314,57,9289,0
1303,59,9261,0
1324,73,9387,0
1306,47,9107,0
1278,68,9128,0
1287,71,8967,0
1298,53,9093,0
1295,64,9142,0
1307,64,9170,1
1309,59,9212,0
1305,59,9177,0
1287,67,9086,0
1297,63,9212,0
1316,64,9219,1
1312,73,9289,0
1330,59,9324,0
1292,57,9051,0
1312,65,9170,0
1320,71,9345,1
1313,67,9289,0
1324,70,9366,0
1282,61,8967,0
1308,66,9149,0
1295,62,9184,0
1314,61,9219,1
1332,69,9331,0
1318,54,9184,0
1311,48,9261,0
1301,59,9212,1
1290,57,9100,0
1308,65,9268,0
1279,67,9149,0
1319,57,9212,0
1291,78,9184,0
1285,67,9128,0
1306,57,9135,0
1296,61,9142,0
1284,54,9037,0
1320,61,9219,0
1309,65,9289,0
1278,75,9030,0
1275,50,9002,0
1292,67,9121,0
1306,54,9163,0
1299,63,9114,0
1291,76,9114,0
1291,59,9065,0
1306,58,9114,0
1293,70,9163,1
1287,60,9121,0
1269,68,8932,0
1304,57,9149,0
1292,70,9051,0
1303,54,9219,0
1264,67,8911,0
1310,48,9240,0
1307,56,9149,0
1296,58,9170,0
1294,62,9086,1
1313,58,9331,1
1304,73,9226,0
1322,69,9324,1
1283,63,9009,0
1291,60,9107,0
1312,73,9205,0
1306,61,9268,0
1289,73,9163,0
1320,67,9317,1
1301,64,9261,0
1304,79,9135,0
1300,73,9240,0
1298,46,9114,0
1295,70,9142,0
1308,72,9331,0
1310,70,9184,0
1337,73,9422,0
1280,65,8974,0
1297,74,9170,1
1299,82,9212,0
1296,63,9149,1
1303,53,9107,0
1309,56,9198,0
1312,70,9331,0
1307,48,9170,0
1305,69,9163,0
1301,55,9142,0
1298,70,9184,1
1305,68,9121,1
1287,63,9079,0
1287,76,9065,0
1305,54,9177,0
1317,61,9303,0
1298,56,9149,0
1303,67,9233,0
1294,59,9058,0
1291,58,9079,0
1316,69,9261,0
1308,62,9212,0
1298,66,9184,0
1309,54,9184,0
1296,53,9072,0
1287,76,9198,0
1328,67,9310,0
1308,55,9149,0
1301,61,9121,0
1275,62,9093,0
1317,71,9261,0
1314,63,9219,0
1298,56,9051,0
1302,54,9114,0
1290,81,9254,1
1282,66,9030,0
1314,46,9247,0
1305,66,9303,0
1296,56,9128,0
1301,68,9177,0
1294,65,9177,0
1320,62,9317,0
1310,53,9275,0
1282,57,8995,0
1307,48,9233,1
1297,74,9233,0
1299,64,9170,0
1284,71,9121,0
1310,75,9254,0
1295,57,9177,0
1304,72,9226,1
1294,62,9233,1
1302,58,9240,0
1304,45,9177,0
1290,57,9142,0
1302,75,9198,0
1316,68,9268,0
1289,64,9079,0
1289,51,9142,0
1304,56,9149,0
1302,50,9191,0
1291,55,9149,2
1315,49,9205,1
1270,58,8960,0
1321,69,9373,0
1287,60,9009,0
1317,66,9296,0
1318,55,9352,0
1311,57,9254,1
1300,53,9051,0
1281,69,8974,0
1320,67,9324,0
1311,68,9240,0
1306,65,9219,0
1295,58,9135,0
1297,64,9086,0
1297,72,9142,0
1296,54,9114,1
1314,61,9373,1
1300,63,9163,0
1319,79,9205,1
1291,59,9121,1
1294,55,9156,0
1297,56,9114,0
1301,59,9086,0
1287,71,9100,1
1316,58,9324,0
1297,64,9163,2
1305,68,9268,0
1283,54,9002,0
1314,74,9226,0
1318,57,9310,0
1293,59,9142,0
1313,68,9303,0
1304,59,9191,0
1325,72,9310,0
1296,63,9079,0
1319,61,9275,2
1314,56,9156,1
1296,69,9184,1
1306,52,9205,0
1297,60,9163,0
1310,74,9198,3
1306,50,9156,1
1289,55,9107,0
1265,68,9023,0
1306,64,9226,1
1311,65,9310,1
1292,48,9114,0
1289,52,9072,1
1306,74,9247,1
1291,68,9128,0
1274,66,8995,0
1312,69,9408,0
1292,77,9212,0
1286,62,9135,0
1336,59,9415,0
1287,55,9037,1
1304,62,9149,0
1286,72,9037,0
1296,51,9086,0
1311,67,9163,1
1309,59,9275,1
1334,51,9373,0
1306,79,9128,1
1312,62,9233,0
1311,72,9198,1
1331,68,9338,0
1304,75,9177,0
1273,71,9030,0
1290,66,9184,1
1305,47,9170,0
1281,66,9023,0
1299,58,9191,0
1322,73,9275,0
1292,68,9072,0
1305,63,9219,0
1270,58,8967,0
1327,57,9471,0
1296,65,9177,0
1326,60,9226,0
1309,59,9226,0
1306,54,9184,0
1308,54,9205,0
1323,60,9366,0
1277,79,9016,0
1280,60,9037,1
1299,62,9065,1
1317,60,9296,1
1287,70,9170,0
1296,60,9135,1
1292,52,9093,0
1292,61,9086,0
1303,58,9205,0
1314,72,9268,0
1283,54,9093,0
1298,59,9198,1
1311,63,9289,0
1296,73,9191,0
1281,63,9128,0
1307,61,9170,0
1294,61,9156,0
1295,67,9163,1
1298,57,9156,0
1310,58,9310,1
1293,68,9226,0
1288,53,9093,1
1314,61,9184,0
1304,69,9184,0
1313,44,9156,0
1324,61,9331,2
1302,66,9135,0
1282,73,9016,1
1303,81,9212,0
1289,68,9079,0
1279,77,9044,0
1304,46,9261,0
1295,67,9142,1
1301,75,9205,0
1307,59,9212,1
1323,75,9324,0
1278,60,8848,0
1304,63,9240,0
1305,66,9219,1
1267,66,8995,0
1302,52,9149,0
1305,53,9100,0
1314,59,9296,1
1328,64,9408,0
1280,47,8995,0
1308,52,9142,1
1273,50,8925,1
1305,68,9233,0
1300,56,9212,0
1282,53,9009,0
1304,60,9149,0
1282,63,9058,0
1285,75,9065,0
1284,68,9058,0
1301,67,9149,0
1306,79,9289,0
1302,68,9296,0
1299,62,9240,0
1290,65,9114,0
1293,55,9107,0
1292,69,9149,1
1287,66,9170,0
1312,61,9191,1
1306,65,9149,0
1287,73,9058,0
1293,48,9219,0
1291,64,9128,0
1301,56,9261,0
1296,54,9191,1
1288,68,9114,0
1303,62,9170,0
1297,60,9114,0
1288,53,9086,0
1305,65,9296,0
1299,57,9135,0
1328,62,9268,1
1294,64,9205,0
1304,64,9121,1
1277,59,9009,0
1296,57,9086,0
1288,56,9135,0
1285,48,9065,0
1310,64,9268,0
1281,67,9135,0
1310,59,9261,0
1302,54,9163,0
1288,62,9065,1
1312,67,9261,0
1319,60,9317,0
1306,58,9212,0
1293,75,9142,0
1273,62,9058,0
1317,71,9429,0
1310,60,9212,0
1288,64,9086,0
1304,65,9142,1
1328,56,9261,0
1301,59,9177,0
1326,57,9394,1
1320,52,9261,0
1302,73,9212,1
1323,64,9275,0
1328,67,9219,1
1317,57,9205,0
1299,66,9282,0
1315,60,9310,1
1290,66,9142,0
1300,66,9093,0
1313,49,9268,1
1286,56,9030,0
1289,57,9149,0
1297,59,9114,0
1306,62,9268,0
1304,64,9240,0
1307,61,9191,0
1285,52,9065,1
1308,43,9219,0
1304,66,9142,0
1300,56,9121,0
1315,64,9261,0
1293,67,9128,0
1294,56,9093,0
1297,62,9142,1
1292,54,9121,1
1298,62,9121,0
1336,68,9478,0
1318,63,9324,0
1329,49,9310,1
1318,50,9345,0
1302,48,9205,0
1319,60,9198,2
1331,71,9317,0
1296,63,9149,0
1307,67,9198,0
1297,49,9149,0
1311,69,9177,0
1296,64,9128,0
1332,67,9422,0
1313,65,9282,0
1316,62,9191,0
1314,66,9317,0
1332,74,9436,0
1278,63,8981,1
1300,64,9079,0
1289,65,9114,0
1289,65,9037,1
1319,63,9352,0
1307,66,9198,0
1322,74,9345,0
1275,66,9023,0
1295,55,9044,0
1303,63,9226,0
1285,75,9135,0
1300,52,9170,1
1303,68,9177,0
1311,66,9205,1
1325,52,9219,0
1292,59,9093,0
1269,65,8974,0
1297,64,9184,0
1299,55,9226,0
1289,57,9177,0
1298,61,9205,1
1298,75,9205,0
1315,65,9191,0
1318,86,9282,0
1291,56,9149,0
1309,60,9079,0
1304,69,9198,0
1296,56,9142,0
1338,70,9387,0
1301,71,9163,1
1305,55,9170,0
1283,56,9065,0
1339,71,9408,0
1287,57,9191,0
1276,52,9163,0
1343,62,9548,0
1303,58,9219,1
1291,70,9058,1
1278,72,9079,2
1311,53,9093,0
1307,54,9163,0
1341,59,9513,1
1307,58,9205,0
1282,73,9079,0
1298,55,9107,0
1316,64,9366,0
1286,62,9079,0
1298,57,9275,0
1314,59,9254,0
