recovery_query,ori_err_cof,check_query,recollect_query,err_cof,total_query
1301,2,256,40,0,1597
1325,2,256,42,0,1623
1329,9,256,71,1,1656
1314,6,256,60,1,1630
1306,3,256,46,1,1608
1296,6,256,69,0,1621
1307,2,256,22,0,1585
1333,6,256,97,0,1686
1320,11,256,101,0,1677
1321,9,256,129,0,1706
1303,8,256,85,0,1644
1298,4,256,54,0,1608
1295,4,256,39,0,1590
1317,6,256,78,0,1651
1322,4,256,40,0,1618
1296,10,256,102,0,1654
1300,8,256,90,1,1646
1306,4,256,52,0,1614
1311,5,256,80,0,1647
1309,4,256,64,0,1629
1318,3,256,36,0,1610
1306,2,256,46,0,1608
1287,4,256,51,0,1594
1301,6,256,65,1,1622
1322,6,256,62,0,1640
1282,5,256,58,0,1596
1331,8,256,60,3,1647
1360,4,256,42,0,1658
1309,10,256,117,1,1682
1306,7,256,82,1,1644
1306,9,256,86,1,1648
1327,5,256,64,1,1647
1288,2,256,50,0,1594
1321,7,256,82,1,1659
1285,5,256,65,0,1606
1307,7,256,88,1,1651
1300,5,256,87,0,1643
1306,1,256,20,0,1582
1305,8,256,93,0,1654
1301,7,256,74,0,1631
1299,5,256,62,0,1617
1322,3,256,37,0,1615
1304,5,256,76,1,1636
1297,9,256,104,1,1657
1282,8,256,87,1,1625
1308,6,256,74,0,1638
1352,8,256,121,2,1729
1291,3,256,19,1,1566
1334,3,256,40,0,1630
1338,4,256,62,0,1656
1301,8,256,74,1,1631
1304,4,256,50,0,1610
1287,5,256,62,0,1605
1338,7,256,82,0,1676
1308,5,256,40,2,1604
1297,5,256,69,0,1622
1285,8,256,72,0,1613
1320,6,256,80,1,1656
1284,7,256,83,0,1623
1323,10,256,133,0,1712
1321,6,256,42,1,1619
1323,4,256,55,0,1634
1309,3,256,66,0,1631
1302,7,256,82,0,1640
1291,4,256,54,0,1601
1314,8,256,82,1,1652
1324,9,256,112,0,1692
1313,4,256,67,0,1636
1329,1,256,22,0,1607
1302,4,256,37,0,1595
1286,3,256,40,0,1582
1295,4,256,37,0,1588
1298,7,256,73,2,1627
1320,8,256,95,0,1671
1330,4,256,58,1,1644
1296,5,256,50,1,1602
1311,6,256,68,0,1635
1314,9,256,91,1,1661
1300,11,256,114,0,1670
1318,8,256,89,0,1663
1300,4,256,51,0,1607
1301,11,256,130,1,1687
1311,4,256,49,0,1616
1321,7,256,115,0,1692
1284,8,256,81,1,1621
