recovery_query,err_without_check,check_query,recollect_query,err_with_check,total_query
1313,113,2414,4095,0,7822
1291,126,2430,4288,0,8009
1302,121,2436,4053,0,7791
1274,125,2464,4172,0,7910
1276,126,2424,4220,0,7920
1274,126,2520,4091,0,7885
1296,109,2418,4074,0,7788
1282,132,2426,4180,0,7888
1301,112,2340,3668,1,7309
1259,123,2454,4289,0,8002
--new--train--round--
1317,119,2484,4144,0,7945
1317,119,2484,4144,0,7945
1289,114,2436,4132,0,7857
1276,112,2396,4046,0,7718
1284,107,2524,4002,2,7810
1303,118,2384,4169,0,7856
1292,108,2350,3832,0,7474
1307,118,2418,4198,0,7923
1307,127,2480,4179,0,7966
1306,123,2508,4286,1,8100
1313,113,2416,4095,0,7824
1291,126,2434,4291,0,8016
1302,121,2438,4057,0,7797
1274,125,2466,4172,0,7912
1276,126,2426,4220,0,7922
1274,126,2532,4094,0,7900
1296,109,2420,4074,0,7790
1282,132,2428,4184,0,7894
1301,112,2342,3670,1,7313
1259,123,2456,4289,0,8004
--new--train--round--
1317,119,2484,4144,0,7945
1317,119,2484,4144,0,7945
1289,114,2436,4132,0,7857
1276,112,2396,4046,0,7718
1284,107,2532,4009,2,7825
1303,118,2386,4169,0,7858
1292,108,2352,3832,0,7476
1307,118,2418,4198,0,7923
1307,127,2486,4181,0,7974
1306,123,2514,4293,1,8113
1313,113,2416,4095,0,7824
1291,126,2436,4291,0,8018
1302,121,2440,4061,0,7803
1274,125,2468,4172,0,7914
1276,126,2428,4220,0,7924
1274,126,2542,4094,0,7910
1296,109,2420,4074,0,7790
1282,132,2430,4184,0,7896
1301,112,2344,3674,1,7319
1259,123,2456,4289,0,8004
--new--train--round--
1317,119,2484,4144,0,7945
1317,119,2484,4144,0,7945
1289,114,2436,4132,0,7857
1276,112,2396,4046,0,7718
1284,107,2540,4018,2,7842
1303,118,2388,4169,0,7860
1292,108,2354,3832,0,7478
1307,118,2418,4198,0,7923
1307,127,2492,4181,0,7980
1306,123,2518,4296,1,8120
1313,113,2416,4095,0,7824
1291,126,2438,4291,0,8020
1302,121,2440,4061,0,7803
1274,125,2470,4172,0,7916
1276,126,2430,4220,0,7926
1274,126,2552,4096,0,7922
1296,109,2420,4074,0,7790
1282,132,2432,4184,0,7898
1301,112,2346,3678,1,7325
1259,123,2456,4289,0,8004
--new--train--round--
1317,119,2484,4144,0,7945
1317,119,2484,4144,0,7945
1289,114,2436,4132,0,7857
1276,112,2396,4046,0,7718
1284,107,2544,4023,2,7851
1303,118,2388,4169,0,7860
1292,108,2356,3832,0,7480
1307,118,2418,4198,0,7923
1307,127,2492,4181,0,7980
1306,123,2522,4300,1,8128
1313,113,2416,4095,0,7824
1291,126,2440,4291,0,8022
1302,121,2440,4061,0,7803
1274,125,2470,4172,0,7916
1276,126,2432,4220,0,7928
1274,126,2562,4099,0,7935
1296,109,2420,4074,0,7790
1282,132,2434,4184,0,7900
1301,112,2348,3682,1,7331
1259,123,2456,4289,0,8004
--new--train--round--
1317,119,2484,4144,0,7945
1317,119,2484,4144,0,7945
1289,114,2436,4132,0,7857
1276,112,2396,4046,0,7718
1284,107,2548,4029,1,7861
1303,118,2388,4169,0,7860
1292,108,2358,3832,0,7482
1307,118,2418,4198,0,7923
1307,127,2492,4181,0,7980
1306,123,2524,4304,1,8134
1313,113,2416,4095,0,7824
1291,126,2442,4291,0,8024
1302,121,2440,4061,0,7803
1274,125,2470,4172,0,7916
1276,126,2432,4220,0,7928
1274,126,2566,4102,0,7942
1296,109,2420,4074,0,7790
1282,132,2436,4188,0,7906
1301,112,2350,3686,1,7337
1259,123,2456,4289,0,8004
--new--train--round--
1317,119,2484,4144,0,7945
1317,119,2484,4144,0,7945
1289,114,2436,4132,0,7857
1276,112,2396,4046,0,7718
1284,107,2552,4032,1,7868
1303,118,2388,4169,0,7860
1292,108,2360,3832,0,7484
1307,118,2418,4198,0,7923
1307,127,2492,4181,0,7980
1306,123,2526,4306,1,8138
1313,113,2416,4095,0,7824
1291,126,2442,4291,0,8024
1302,121,2440,4061,0,7803
1274,125,2470,4172,0,7916
1276,126,2432,4220,0,7928
1274,126,2566,4102,0,7942
1296,109,2420,4074,0,7790
1282,132,2438,4188,0,7908
1301,112,2352,3690,1,7343
1259,123,2456,4289,0,8004
--new--train--round--
1317,119,2484,4144,0,7945
1317,119,2484,4144,0,7945
1289,114,2436,4132,0,7857
1276,112,2396,4046,0,7718
1284,107,2556,4035,1,7875
1303,118,2388,4169,0,7860
1292,108,2362,3832,0,7486
1307,118,2418,4198,0,7923
1307,127,2492,4181,0,7980
1306,123,2528,4308,1,8142
1313,113,2416,4095,0,7824
1291,126,2442,4291,0,8024
1302,121,2440,4061,0,7803
1274,125,2470,4172,0,7916
1276,126,2432,4220,0,7928
1274,126,2566,4102,0,7942
1296,109,2420,4074,0,7790
1282,132,2440,4188,0,7910
1301,112,2354,3694,0,7349
1259,123,2456,4289,0,8004
--new--train--round--
1317,119,2484,4144,0,7945
1317,119,2484,4144,0,7945
1289,114,2436,4132,0,7857
1276,112,2396,4046,0,7718
1284,107,2560,4042,1,7886
1303,118,2388,4169,0,7860
1292,108,2362,3832,0,7486
1307,118,2418,4198,0,7923
1307,127,2492,4181,0,7980
1306,123,2530,4310,1,8146
1313,113,2416,4095,0,7824
1291,126,2442,4291,0,8024
1302,121,2440,4061,0,7803
1274,125,2470,4172,0,7916
1276,126,2432,4220,0,7928
1274,126,2566,4102,0,7942
1296,109,2420,4074,0,7790
1282,132,2440,4188,0,7910
1301,112,2356,3694,0,7351
1259,123,2456,4289,0,8004
--new--train--round--
1317,119,2484,4144,0,7945
1317,119,2484,4144,0,7945
1289,114,2436,4132,0,7857
1276,112,2396,4046,0,7718
1284,107,2562,4044,1,7890
1303,118,2388,4169,0,7860
1292,108,2362,3832,0,7486
1307,118,2418,4198,0,7923
1307,127,2492,4181,0,7980
1306,123,2532,4314,1,8152
1313,113,2416,4095,0,7824
1291,126,2442,4291,0,8024
1302,121,2440,4061,0,7803
1274,125,2470,4172,0,7916
1276,126,2432,4220,0,7928
1274,126,2566,4102,0,7942
1296,109,2420,4074,0,7790
1282,132,2440,4188,0,7910
1301,112,2356,3694,0,7351
1259,123,2456,4289,0,8004
--new--train--round--
1317,119,2484,4144,0,7945
1317,119,2484,4144,0,7945
1289,114,2436,4132,0,7857
1276,112,2396,4046,0,7718
1284,107,2564,4047,1,7895
1303,118,2388,4169,0,7860
1292,108,2362,3832,0,7486
1307,118,2418,4198,0,7923
1307,127,2492,4181,0,7980
1306,123,2534,4318,0,8158
1313,113,2416,4095,0,7824
1291,126,2442,4291,0,8024
1302,121,2440,4061,0,7803
1274,125,2470,4172,0,7916
1276,126,2432,4220,0,7928
1274,126,2566,4102,0,7942
1296,109,2420,4074,0,7790
1282,132,2440,4188,0,7910
1301,112,2356,3694,0,7351
