[trace 261]: recovering s[0][100], m = m1, branching...
[trace 262]: recovering s[0][100], m = m1, branching...
[trace 263]: recovering s[0][100], m = m1, branching...
[trace 264]: recovering s[0][100], m = m0, recovered cof_value = -2
[trace 265]: recovering s[0][101], m = m1, branching...
[trace 266]: recovering s[0][101], m = m0, recovered cof_value = 0
[trace 267]: recovering s[0][102], m = m1, branching...
[trace 268]: recovering s[0][102], m = m1, branching...
[trace 269]: recovering s[0][102], m = m0, recovered cof_value = -1
[trace 270]: recovering s[0][103], m = m1, branching...
[trace 271]: recovering s[0][103], m = m1, branching...
[trace 272]: recovering s[0][103], m = m1, branching...
[trace 273]: recovering s[0][103], m = m0, recovered cof_value = -2
[trace 274]: recovering s[0][104], m = m0, branching...
[trace 275]: recovering s[0][104], m = m0, branching...
[trace 276]: recovering s[0][104], m = m1, recovered cof_value = 2
[trace 277]: recovering s[0][105], m = m0, branching...
[trace 278]: recovering s[0][105], m = m1, recovered cof_value = 1
[trace 279]: recovering s[0][106], m = m0, branching...
[trace 280]: recovering s[0][106], m = m1, recovered cof_value = 1
[trace 281]: recovering s[0][107], m = m1, branching...
[trace 282]: recovering s[0][107], m = m0, recovered cof_value = 0
[trace 283]: recovering s[0][108], m = m1, branching...
[trace 284]: recovering s[0][108], m = m1, branching...
[trace 285]: recovering s[0][108], m = m0, recovered cof_value = -1
[trace 286]: recovering s[0][109], m = m1, branching...
[trace 287]: recovering s[0][109], m = m1, branching...
[trace 288]: recovering s[0][109], m = m0, recovered cof_value = -1
[trace 289]: recovering s[0][110], m = m0, branching...
[trace 290]: recovering s[0][110], m = m1, recovered cof_value = 1
[trace 291]: recovering s[0][111], m = m1, branching...
[trace 292]: recovering s[0][111], m = m1, branching...
[trace 293]: recovering s[0][111], m = m0, recovered cof_value = -1
[trace 294]: recovering s[0][112], m = m1, branching...
[trace 295]: recovering s[0][112], m = m1, branching...
[trace 296]: recovering s[0][112], m = m1, branching...
[trace 297]: recovering s[0][112], m = m0, recovered cof_value = -2
[trace 298]: recovering s[0][113], m = m0, branching...
[trace 299]: recovering s[0][113], m = m1, recovered cof_value = 1
[trace 300]: recovering s[0][114], m = m1, branching...
[trace 301]: recovering s[0][114], m = m0, recovered cof_value = 0
[trace 302]: recovering s[0][115], m = m0, branching...
[trace 303]: recovering s[0][115], m = m1, recovered cof_value = 1
[trace 304]: recovering s[0][116], m = m1, branching...
[trace 305]: recovering s[0][116], m = m1, branching...
[trace 306]: recovering s[0][116], m = m1, branching...
[trace 307]: recovering s[0][116], m = m0, recovered cof_value = -2
[trace 308]: recovering s[0][117], m = m1, branching...
[trace 309]: recovering s[0][117], m = m0, recovered cof_value = 0
[trace 310]: recovering s[0][118], m = m1, branching...
[trace 311]: recovering s[0][118], m = m1, branching...
[trace 312]: recovering s[0][118], m = m0, recovered cof_value = -1
[trace 313]: recovering s[0][119], m = m0, branching...
[trace 314]: recovering s[0][119], m = m0, branching...
[trace 315]: recovering s[0][119], m = m1, recovered cof_value = 2
[trace 316]: recovering s[0][120], m = m1, branching...
[trace 317]: recovering s[0][120], m = m0, recovered cof_value = 0
[trace 318]: recovering s[0][121], m = m1, branching...
[trace 319]: recovering s[0][121], m = m0, recovered cof_value = 0
[trace 320]: recovering s[0][122], m = m1, branching...
[trace 321]: recovering s[0][122], m = m1, branching...
[trace 322]: recovering s[0][122], m = m0, recovered cof_value = -1
[trace 323]: recovering s[0][123], m = m0, branching...
[trace 324]: recovering s[0][123], m = m1, recovered cof_value = 1
[trace 325]: recovering s[0][124], m = m1, branching...
[trace 326]: recovering s[0][124], m = m0, recovered cof_value = 0
[trace 327]: recovering s[0][125], m = m0, branching...
[trace 328]: recovering s[0][125], m = m1, recovered cof_value = 1
[trace 329]: recovering s[0][126], m = m1, branching...
[trace 330]: recovering s[0][126], m = m0, recovered cof_value = 0
[trace 331]: recovering s[0][127], m = m0, branching...
[trace 332]: recovering s[0][127], m = m1, recovered cof_value = 1
[trace 333]: recovering s[0][128], m = m0, branching...
[trace 334]: recovering s[0][128], m = m1, recovered cof_value = 1
[trace 335]: recovering s[0][129], m = m1, branching...
[trace 336]: recovering s[0][129], m = m0, recovered cof_value = 0
[trace 337]: recovering s[0][130], m = m1, branching...
[trace 338]: recovering s[0][130], m = m1, branching...
[trace 339]: recovering s[0][130], m = m0, recovered cof_value = -1
[trace 340]: recovering s[0][131], m = m0, branching...
[trace 341]: recovering s[0][131], m = m1, recovered cof_value = 1
[trace 342]: recovering s[0][132], m = m0, branching...
[trace 343]: recovering s[0][132], m = m1, recovered cof_value = 1
[trace 344]: recovering s[0][133], m = m1, branching...
[trace 345]: recovering s[0][133], m = m0, recovered cof_value = 0
[trace 346]: recovering s[0][134], m = m1, branching...
[trace 347]: recovering s[0][134], m = m0, recovered cof_value = 0
[trace 348]: recovering s[0][135], m = m1, branching...
[trace 349]: recovering s[0][135], m = m1, branching...
[trace 350]: recovering s[0][135], m = m0, recovered cof_value = -1
[trace 351]: recovering s[0][136], m = m1, branching...
[trace 352]: recovering s[0][136], m = m0, recovered cof_value = 0
[trace 353]: recovering s[0][137], m = m0, branching...
[trace 354]: recovering s[0][137], m = m1, recovered cof_value = 1
[trace 355]: recovering s[0][138], m = m0, branching...
[trace 356]: recovering s[0][138], m = m0, branching...
[trace 357]: recovering s[0][138], m = m1, recovered cof_value = 2
[trace 358]: recovering s[0][139], m = m0, branching...
[trace 359]: recovering s[0][139], m = m0, branching...
[trace 360]: recovering s[0][139], m = m1, recovered cof_value = 2
[trace 361]: recovering s[0][140], m = m1, branching...
[trace 362]: recovering s[0][140], m = m0, recovered cof_value = 0
[trace 363]: recovering s[0][141], m = m0, branching...
[trace 364]: recovering s[0][141], m = m1, recovered cof_value = 1
[trace 365]: recovering s[0][142], m = m1, branching...
[trace 366]: recovering s[0][142], m = m0, recovered cof_value = 0
[trace 367]: recovering s[0][143], m = m1, branching...
[trace 368]: recovering s[0][143], m = m0, recovered cof_value = 0
[trace 369]: recovering s[0][144], m = m1, branching...
[trace 370]: recovering s[0][144], m = m0, recovered cof_value = 0
[trace 371]: recovering s[0][145], m = m0, branching...
[trace 372]: recovering s[0][145], m = m1, recovered cof_value = 1
[trace 373]: recovering s[0][146], m = m0, branching...
[trace 374]: recovering s[0][146], m = m1, recovered cof_value = 1
[trace 375]: recovering s[0][147], m = m1, branching...
[trace 376]: recovering s[0][147], m = m1, branching...
[trace 377]: recovering s[0][147], m = m0, recovered cof_value = -1
[trace 378]: recovering s[0][148], m = m0, branching...
[trace 379]: recovering s[0][148], m = m1, recovered cof_value = 1
[trace 380]: recovering s[0][149], m = m0, branching...
[trace 381]: recovering s[0][149], m = m1, recovered cof_value = 1
[trace 382]: recovering s[0][150], m = m1, branching...
[trace 383]: recovering s[0][150], m = m1, branching...
[trace 384]: recovering s[0][150], m = m0, recovered cof_value = -1
[trace 385]: recovering s[0][151], m = m0, branching...
[trace 386]: recovering s[0][151], m = m1, recovered cof_value = 1
[trace 387]: recovering s[0][152], m = m1, branching...
[trace 388]: recovering s[0][152], m = m0, recovered cof_value = 0
[trace 389]: recovering s[0][153], m = m1, branching...
[trace 390]: recovering s[0][153], m = m1, branching...
[trace 391]: recovering s[0][153], m = m0, recovered cof_value = -1
[trace 392]: recovering s[0][154], m = m1, branching...
[trace 393]: recovering s[0][154], m = m0, recovered cof_value = 0
[trace 394]: recovering s[0][155], m = m1, branching...
[trace 395]: recovering s[0][155], m = m1, branching...
[trace 396]: recovering s[0][155], m = m1, branching...
[trace 397]: recovering s[0][155], m = m0, recovered cof_value = -2
[trace 398]: recovering s[0][156], m = m1, branching...
[trace 399]: recovering s[0][156], m = m1, branching...
[trace 400]: recovering s[0][156], m = m0, recovered cof_value = -1
[trace 401]: recovering s[0][157], m = m1, branching...
[trace 402]: recovering s[0][157], m = m0, recovered cof_value = 0
[trace 403]: recovering s[0][158], m = m1, branching...
[trace 404]: recovering s[0][158], m = m1, branching...
[trace 405]: recovering s[0][158], m = m1, branching...
[trace 406]: recovering s[0][158], m = m0, recovered cof_value = -2
[trace 407]: recovering s[0][159], m = m0, branching...
[trace 408]: recovering s[0][159], m = m1, recovered cof_value = 1
[trace 409]: recovering s[0][160], m = m1, branching...
[trace 410]: recovering s[0][160], m = m1, branching...
[trace 411]: recovering s[0][160], m = m0, recovered cof_value = -1
[trace 412]: recovering s[0][161], m = m1, branching...
[trace 413]: recovering s[0][161], m = m0, recovered cof_value = 0
[trace 414]: recovering s[0][162], m = m1, branching...
[trace 415]: recovering s[0][162], m = m0, recovered cof_value = 0
[trace 416]: recovering s[0][163], m = m1, branching...
[trace 417]: recovering s[0][163], m = m1, branching...
[trace 418]: recovering s[0][163], m = m0, recovered cof_value = -1
[trace 419]: recovering s[0][164], m = m1, branching...
[trace 420]: recovering s[0][164], m = m1, branching...
[trace 421]: recovering s[0][164], m = m0, recovered cof_value = -1
[trace 422]: recovering s[0][165], m = m1, branching...
[trace 423]: recovering s[0][165], m = m0, recovered cof_value = 0
[trace 424]: recovering s[0][166], m = m1, branching...
[trace 425]: recovering s[0][166], m = m1, branching...
[trace 426]: recovering s[0][166], m = m1, branching...
[trace 427]: recovering s[0][166], m = m0, recovered cof_value = -2
[trace 428]: recovering s[0][167], m = m1, branching...
[trace 429]: recovering s[0][167], m = m0, recovered cof_value = 0
[trace 430]: recovering s[0][168], m = m0, branching...
[trace 431]: recovering s[0][168], m = m1, recovered cof_value = 1
[trace 432]: recovering s[0][169], m = m1, branching...
[trace 433]: recovering s[0][169], m = m0, recovered cof_value = 0
[trace 434]: recovering s[0][170], m = m0, branching...
[trace 435]: recovering s[0][170], m = m1, recovered cof_value = 1
[trace 436]: recovering s[0][171], m = m1, branching...
[trace 437]: recovering s[0][171], m = m1, branching...
[trace 438]: recovering s[0][171], m = m1, branching...
[trace 439]: recovering s[0][171], m = m0, recovered cof_value = -2
[trace 440]: recovering s[0][172], m = m1, branching...
[trace 441]: recovering s[0][172], m = m0, recovered cof_value = 0
[trace 442]: recovering s[0][173], m = m1, branching...
[trace 443]: recovering s[0][173], m = m0, recovered cof_value = 0
[trace 444]: recovering s[0][174], m = m1, branching...
[trace 445]: recovering s[0][174], m = m0, recovered cof_value = 0
[trace 446]: recovering s[0][175], m = m1, branching...
[trace 447]: recovering s[0][175], m = m0, recovered cof_value = 0
[trace 448]: recovering s[0][176], m = m1, branching...
[trace 449]: recovering s[0][176], m = m1, branching...
[trace 450]: recovering s[0][176], m = m0, recovered cof_value = -1
[trace 451]: recovering s[0][177], m = m0, branching...
[trace 452]: recovering s[0][177], m = m1, recovered cof_value = 1
[trace 453]: recovering s[0][178], m = m1, branching...
[trace 454]: recovering s[0][178], m = m0, recovered cof_value = 0
[trace 455]: recovering s[0][179], m = m1, branching...
[trace 456]: recovering s[0][179], m = m0, recovered cof_value = 0
[trace 457]: recovering s[0][180], m = m1, branching...
[trace 458]: recovering s[0][180], m = m0, recovered cof_value = 0
[trace 459]: recovering s[0][181], m = m0, branching...
[trace 460]: recovering s[0][181], m = m0, branching...
[trace 461]: recovering s[0][181], m = m1, recovered cof_value = 2
[trace 462]: recovering s[0][182], m = m1, branching...
[trace 463]: recovering s[0][182], m = m1, branching...
[trace 464]: recovering s[0][182], m = m1, branching...
[trace 465]: recovering s[0][182], m = m0, recovered cof_value = -2
[trace 466]: recovering s[0][183], m = m1, branching...
[trace 467]: recovering s[0][183], m = m0, recovered cof_value = 0
[trace 468]: recovering s[0][184], m = m1, branching...
[trace 469]: recovering s[0][184], m = m1, branching...
[trace 470]: recovering s[0][184], m = m1, branching...
[trace 471]: recovering s[0][184], m = m0, recovered cof_value = -2
[trace 472]: recovering s[0][185], m = m1, branching...
[trace 473]: recovering s[0][185], m = m1, branching...
[trace 474]: recovering s[0][185], m = m0, recovered cof_value = -1
[trace 475]: recovering s[0][186], m = m1, branching...
[trace 476]: recovering s[0][186], m = m0, recovered cof_value = 0
[trace 477]: recovering s[0][187], m = m1, branching...
[trace 478]: recovering s[0][187], m = m1, branching...
[trace 479]: recovering s[0][187], m = m1, branching...
[trace 480]: recovering s[0][187], m = m0, recovered cof_value = -2
[trace 481]: recovering s[0][188], m = m1, branching...
[trace 482]: recovering s[0][188], m = m1, branching...
[trace 483]: recovering s[0][188], m = m0, recovered cof_value = -1
[trace 484]: recovering s[0][189], m = m1, branching...
[trace 485]: recovering s[0][189], m = m0, recovered cof_value = 0
[trace 486]: recovering s[0][190], m = m1, branching...
[trace 487]: recovering s[0][190], m = m1, branching...
[trace 488]: recovering s[0][190], m = m1, branching...
[trace 489]: recovering s[0][190], m = m0, recovered cof_value = -2
[trace 490]: recovering s[0][191], m = m1, branching...
[trace 491]: recovering s[0][191], m = m1, branching...
[trace 492]: recovering s[0][191], m = m0, recovered cof_value = -1
[trace 493]: recovering s[0][192], m = m0, branching...
[trace 494]: recovering s[0][192], m = m1, recovered cof_value = 1
[trace 495]: recovering s[0][193], m = m0, branching...
[trace 496]: recovering s[0][193], m = m1, recovered cof_value = 1
[trace 497]: recovering s[0][194], m = m0, branching...
[trace 498]: recovering s[0][194], m = m0, branching...
[trace 499]: recovering s[0][194], m = m1, recovered cof_value = 2
[trace 500]: recovering s[0][195], m = m0, branching...
[trace 501]: recovering s[0][195], m = m1, recovered cof_value = 1
[trace 502]: recovering s[0][196], m = m0, branching...
[trace 503]: recovering s[0][196], m = m1, recovered cof_value = 1
